Company,LemFi Relevance Score,Tier,Category,Main Employee Location,In Original List,Status,Last Funding Stage,Valuation Band,Est. Valuation / ARR (notes),Data Confidence,Category Fit,Market Overlap,Product Adjacency,Talent / Stage Poachability,Growth / Heat,Flags / Competitive Notes
Revolut,92.8,A — Priority,Neobanks,UK,Yes,Private,Late/Growth,$10B+,~$75B Nov-25; 65m+ users; perfect CB hiring-momentum; aggressive global hiring,High,90,100,92,76,98,Hottest fintech; multi-product superapp; UK
Terrapay,91.4,A — Priority,Payment Infrastructure,UK,Yes,Private,Series B,$1-10B,UK global cross-border payment network ~$1B; remittance rails,High,95,100,85,86,82,Direct cross-border/remittance rails — core
Nala,91.2,A — Priority,Remittance Payments,"Nigeria, UK",Yes,Private,Series A,$50-250M,Africa-focused remittance + Rafiki B2B rails; ~$40m Series A 2024,High,100,100,80,70,88,Direct diaspora-remittance competitor
TapTap Send,90.5,A — Priority,Remittance Payments,"UK, USA, Nigeria",Yes,Private,Series B,$50-250M,Diaspora remittance to Africa/Asia/LatAm; ~$65m Series B,High,100,100,78,86,75,Direct diaspora-remittance competitor
Paysend,90.3,A — Priority,Payment Infrastructure,UK,Yes,Private,Series B,$250M-1B,UK card-to-card global remittance+SMB,High,95,100,82,86,78,Direct remittance/cross-border peer; UK
Wise,90.2,A — Priority,Remittance Payments,"UK, Estonia",Yes,Public,Public (LSE),Public,LSE:WISE ~£11B mkt cap; FY25 rev ~£1.5B; profitable; US listing move,High,100,100,85,70,78,Direct cross-border peer; top talent pool
Kuda,89.3,A — Priority,Neobanks,Nigeria,Yes,Private,Series B,$250M-1B,Nigeria neobank ~$500m; UK diaspora remittance launched,High,90,100,80,86,82,Nigeria + UK diaspora — direct overlap
Monzo Bank,89.2,A — Priority,Neobanks,UK,Yes,Private,Late/Growth,$1-10B,UK neobank ~$5.9B 2024; IPO-bound; profitable; 12m+ users,High,90,100,80,76,88,Premier UK neobank talent
OPay,88.9,A — Priority,Neobanks,Nigeria,Yes,Private,Late/Growth,$1-10B,Nigeria superbank ~$2.75B; massive scale,High,90,100,82,76,85,Nigeria — core market; multi-product
Aspora,88.2,A — Priority,Remittance Payments,India,Yes,Private,Series B,$250M-1B,"Indian-diaspora remittance; raised at ~$0.5B 2025, Sequoia-backed; hyper-growth",Medium,100,80,78,86,92,Direct diaspora-remittance competitor
Fincra,88.1,A — Priority,Payment Infrastructure,Nigeria,,Private,Series A,$50-250M,Nigeria cross-border payments/collections API,High,95,100,78,70,80,Nigeria — core; cross-border rails
Rapyd,88,A — Priority,Payment Infrastructure,UK,,Private,Late/Growth,$1-10B,UK fintech-as-a-service ~$9B; 100+ countries; crypto push,High,95,100,82,76,72,UK; global multi-product rails
Klasha,87.7,A — Priority,Payment Infrastructure,"Nigeria, UK",,Private,Series A,$50-250M,Nigeria/UK cross-border commerce payments into Africa,High,95,100,78,70,78,Nigeria+UK; cross-border into Africa
Primer,87.5,A — Priority,Payment Infrastructure,UK,Yes,Private,Series C,$250M-1B,UK payment-orchestration ($100m Series C 2026),High,95,100,62,88,78,UK; hot round; orchestration talent
FairMoney,87.4,A — Priority,Neobanks,Nigeria,Yes,Private,Series B,$250M-1B,Nigeria digital bank/lender ~$0.5B,High,90,100,72,86,78,Nigeria — core market; credit overlap
